"x","y","z"
"1",0.022703,-0.031021,0.768892274294824
"2",0.021701,0.257692,0.846574700799038
"3",0.001903,0.49436,0.488471506130501
"4",0.039541,0.699342,0.35212744127832
"5",0.031583,0.910765,0.289110717919215
"6",0.132419,0.050133,0.937829301940627
"7",0.125444,0.259297,1.09337987221163
"8",0.076758,0.417112,0.666257430953503
"9",0.062649,0.655223,0.368028190107311
"10",0.095867,0.914652,0.277599626366023
"11",0.26456,0.029294,0.864180515232521
"12",0.208899,0.266878,1.1689929684378
"13",0.171473,0.480174,0.57124511962748
"14",0.190921,0.68788,0.322824345312143
"15",0.230463,0.904651,0.246629664196358
"16",0.366317,0.039695,0.702945165094912
"17",0.383239,0.238955,0.824421275011044
"18",0.346632,0.490299,0.443563302992194
"19",0.387316,0.644523,0.230413647426621
"20",0.379536,0.893803,0.156216686843412
"21",0.414977,-0.028462,0.542073370788031
"22",0.420001,0.226247,0.716518752843375
"23",0.485566,0.389142,0.453463749239603
"24",0.479258,0.632425,0.203100354340265
"25",0.397776,0.848971,0.0950687821453527
"26",0.053989,0.158674,0.952023402272576
"27",0.017513,0.341401,0.726415830856914
"28",-0.050968,0.578285,0.413568208845546
"29",-0.048706,0.747019,0.344874749810354
"30",-0.041878,0.996289,0.27464880004465
"31",0.109027,0.091855,0.986820528822199
"32",0.093454,0.338159,0.875489671960304
"33",0.145187,0.561556,0.431911954423164
"34",0.145273,0.752407,0.311392698255522
"35",0.069556,0.963242,0.270216543830894
"36",0.239164,0.06023,0.963411969101381
"37",0.276733,0.369604,0.837369949682683
"38",0.226678,0.594059,0.374833277870091
"39",0.186765,0.818558,0.280275900999148
"40",0.242622,0.980541,0.228061601582642
"41",0.385766,0.068448,0.699959506904987
"42",0.317909,0.312413,0.913195827630404
"43",0.377659,0.51993,0.371777146513475
"44",0.381292,0.820379,0.092720516078712
"45",0.280351,0.971172,0.218713158394338
"46",0.427768,0.156096,0.678797002485426
"47",0.466363,0.317509,0.550298448422217
"48",0.409203,0.508495,0.361419538396268
"49",0.481228,0.751101,0.0271960737254022
"50",0.402732,0.997873,0.175238913851737
"51",0.584869,-0.027195,0.344022007667632
"52",0.606389,0.270927,0.517973756952471
"53",0.574131,0.425942,0.420671678970048
"54",0.59901,0.673378,0.174763160862573
"55",0.609697,0.924241,0.121522664184711
"56",0.661693,0.025596,0.309886051484918
"57",0.639647,0.200834,0.483012865955054
"58",0.700118,0.48907,0.419763188302432
"59",0.690895,0.669783,0.171193766181114
"60",0.671889,0.93661,0.105881343749761
"61",0.773694,0.028537,0.258232919953882
"62",0.741042,0.193658,0.502544194523041
"63",0.730603,0.471423,0.463637395321324
"64",0.821453,0.668505,0.137769564514927
"65",0.807664,0.847679,0.0807050278096428
"66",0.842457,0.03805,0.22461623784393
"67",0.836692,0.208309,0.467399626167576
"68",0.847812,0.433563,0.469966629571367
"69",0.91757,0.630738,0.12303541201675
"70",0.927987,0.904231,0.0509025010251542
"71",1.044982,-0.01209,0.0858188661380365
"72",0.985788,0.269584,0.264600902096316
"73",1.012929,0.439605,0.186413591692709
"74",1.001985,0.694152,0.0598025964029242
"75",1.041468,0.868208,0.0349327357631551
"76",0.573008,0.127243,0.4214050666735
"77",0.501389,0.347773,0.485388415754561
"78",0.610695,0.608471,0.226834393173919
"79",0.538062,0.723524,0.106604028354508
"80",0.502619,1.030876,0.143132022622182
"81",0.642784,0.070783,0.347566377227341
"82",0.670396,0.325984,0.590165967721069
"83",0.633359,0.509632,0.350832516401061
"84",0.689564,0.775957,0.12353737771872
"85",0.683767,1.006451,0.0965413032570732
"86",0.763533,0.10214,0.344968949959776
"87",0.825898,0.323577,0.595363137915009
"88",0.808661,0.609159,0.201979384467244
"89",0.729064,0.802281,0.107913076244765
"90",0.817095,1.051236,0.0634316267478704
"91",0.868405,0.090205,0.256122290120218
"92",0.941846,0.331849,0.370426137613655
"93",0.859958,0.591014,0.1975564535362
"94",0.859633,0.814484,0.0726867240330254
"95",0.85128,0.969603,0.0614595633322609
"96",0.967063,0.133411,0.195838842267602
"97",0.967631,0.379528,0.301240621824028
"98",0.965704,0.504442,0.198566730402687
"99",1.03593,0.745992,0.0435229005536741
"100",0.947151,0.980141,0.0441670203757325
